vid_ID,frame_num,task_var,event,huj_0,huj_1,huj_2
nnqZqPuPQ7E,2755,a,COVID test,1,12,5
RvGDhjkZ_Gg,1749,a,COVID test,61,70,100
nGbf84wW3-M,2628,a,COVID test,44,12,72
xhXThd33-cM,1974,a,COVID test,3,17,18
Iu5Zn5dF50M,1540,a,COVID test,78,100,100
CbX_cJxEsG8,950,a,COVID test,39,53,92
FyLdDChK6sE,3400,a,wedding,78,100,100
gfDWSjftuA0,8050,a,wedding,95,100,98
Bp8t824h5NE,6776,a,wedding,97,100,100
4qpTg5E1Xok,2660,a,wedding,67,79,68
adpTLWCfu9k,0,a,wedding,3,1,1
aJOeRUlrmoQ,5735,a,wedding,78,58,1
44HWfia55q4,1818,a,wedding,78,76,6
dWZ9Iv7tPKk,2840,a,wedding,20,14,8
8uZD12Hi0h0,3808,a,wedding,10,43,54
5A-3of5FoB8,975,a,wedding,85,100,100
3-sFLOcz_1I,227,a,wedding,49,35,10
2um9Pbu5BO4,2125,a,wedding,94,100,100
N83_Oe-yJU8,2640,a,medical procedure (other than COVID test),79,100,100
79zs_gX2y5Q,7854,a,medical procedure (other than COVID test),81,0,100
g5r3RI8AG84,4234,a,medical procedure (other than COVID test),13,0,100
6P7zkVLbxWc,464,a,medical procedure (other than COVID test),3,1,0
34W38Agu0jg,231,a,medical procedure (other than COVID test),4,6,1
_VOXeUDJf9I,800,a,medical procedure (other than COVID test),87,100,100
banner28,3712,a,protest,69,100,93
banner18,2124,a,protest,85,100,81
banner30,4040,a,protest,63,100,70
banner10,96,a,protest,82,100,96
banner15,3808,a,protest,89,100,94
banner62,3404,a,protest,89,100,97
Eh_cnVCU7nw,200,a,wedding,42,75,100
ef5c0izPTNg,1064,a,wedding,81,81,100
g2w7Yu4hMYE,1620,a,wedding,93,85,100
9tGS3c1Ja6o,1134,a,wedding,48,25,92
9VP1n9zTk38,1393,a,wedding,95,100,100
7NSDVV0g-Eo,165,a,wedding,71,82,100
rIcQ4Knm0Ks,1320,a,parade,99,95,100
x9l_yFj3F6U,693,a,parade,5,70,28
tS3U1j-YFLw,1175,a,parade,69,37,12
yETzf3GqEbs,618,a,parade,12,48,1
6JIdatdtxC4,1848,a,parade,81,45,5
AAtnZ6mv38k,1846,a,parade,66,39,1
ef5c0izPTNg,4522,a,wedding,2,7,4
Gyt7uyHxJfo,874,a,wedding,99,100,100
de8dLXvgV-I,17856,a,wedding,98,100,99
dI6S2OZBY4E,5668,a,wedding,93,100,100
dWZ9Iv7tPKk,2130,a,wedding,95,100,53
fbY7HoJgtMQ,3006,a,wedding,99,100,100
6VC9ci9TnHE,267,a,birthday party,9,85,4
DeQc9JcUhMA,3888,a,birthday party,40,44,7
eYGGZV-JqvI,1590,a,birthday party,10,93,13
eqhAaAOrw6I,645,a,birthday party,18,84,100
7d8gP_PZMjc,32,a,birthday party,6,80,100
GXZK7aGNpUw,318,a,birthday party,55,77,3
FxAD8xt0WiM,244,a,COVID test,2,23,10
olqe6KS5FmM,1500,a,COVID test,70,82,100
NYDqFK_W9E8,2268,a,COVID test,62,81,84
9WayjX6vCdk,3026,a,COVID test,2,1,1
HkWGjt1p9-0,1342,a,COVID test,5,23,1
mSbitxEwU2M,2220,a,COVID test,6,62,37
LyPzt5BhIEU,0,a,parade,45,100,8
97tDHvp036s,59,a,parade,14,84,21
uf6jIXtHQ8c,0,a,parade,6,1,6
yETzf3GqEbs,206,a,parade,55,100,15
i9Y6mLjjT-4,1106,a,parade,91,100,100
ujwTA68t3qI,1674,a,parade,6,17,9
zMqfwJmtRKs,1210,a,parade,4,16,2
s10ko_TdA_8,2835,a,parade,94,100,100
UM4oYR0bNNU,748,a,parade,77,80,2
ZKmoKvXeyBc,2080,a,parade,91,100,100
ujwTA68t3qI,0,a,parade,7,0,3
i9Y6mLjjT-4,948,a,parade,97,100,100
xhXThd33-cM,1269,a,COVID test,4,21,5
mSbitxEwU2M,1480,a,COVID test,87,100,100
HJsKFGUE-Ak,5292,a,COVID test,2,1,9
